Date,Adj Close_TEBE.JK,Close_TEBE.JK,High_TEBE.JK,Low_TEBE.JK,Open_TEBE.JK,Volume_TEBE.JK
2021-11-18,419.9443664550781,630.0,680.0,630.0,645.0,504900
2021-11-19,443.27459716796875,665.0,665.0,635.0,640.0,183400
2021-11-22,436.6087951660156,655.0,680.0,655.0,670.0,243200
2021-11-23,449.94036865234375,675.0,720.0,660.0,680.0,636800
2021-11-24,459.9390869140625,690.0,730.0,675.0,680.0,789200
2021-11-25,466.6048278808594,700.0,715.0,680.0,695.0,353400
2021-11-26,443.27459716796875,665.0,715.0,665.0,705.0,461800
2021-11-29,433.27593994140625,650.0,690.0,640.0,660.0,322800
2021-11-30,449.94036865234375,675.0,690.0,645.0,650.0,220900
2021-12-01,433.27593994140625,650.0,690.0,650.0,675.0,252300
2021-12-02,436.6087951660156,655.0,660.0,630.0,655.0,465500
2021-12-03,453.2732849121094,680.0,685.0,645.0,665.0,318100
2021-12-06,433.27593994140625,650.0,685.0,645.0,685.0,127000
2021-12-07,429.94305419921875,645.0,660.0,640.0,650.0,113800
2021-12-08,433.27593994140625,650.0,690.0,635.0,640.0,281500
2021-12-09,429.94305419921875,645.0,650.0,630.0,650.0,638900
2021-12-10,433.27593994140625,650.0,670.0,640.0,645.0,179600
2021-12-13,466.6048278808594,700.0,725.0,640.0,650.0,1073900
2021-12-14,456.606201171875,685.0,715.0,670.0,705.0,416100
2021-12-15,456.606201171875,685.0,700.0,670.0,685.0,162900
2021-12-16,446.6075439453125,670.0,685.0,655.0,685.0,155000
2021-12-17,436.6087951660156,655.0,670.0,655.0,670.0,179300
2021-12-20,453.2732849121094,680.0,720.0,650.0,650.0,955900
2021-12-21,443.27459716796875,665.0,690.0,655.0,685.0,354500
2021-12-22,439.9417419433594,660.0,690.0,660.0,665.0,480000
2021-12-23,446.6075439453125,670.0,680.0,655.0,665.0,221400
2021-12-24,463.2720031738281,695.0,710.0,660.0,670.0,754000
2021-12-27,463.2720031738281,695.0,795.0,685.0,705.0,3326800
2021-12-28,443.27459716796875,665.0,720.0,665.0,700.0,832000
2021-12-29,436.6087951660156,655.0,675.0,635.0,670.0,975700
2021-12-30,436.6087951660156,655.0,685.0,645.0,660.0,690000
2022-01-03,433.27593994140625,650.0,660.0,635.0,660.0,426600
2022-01-04,429.94305419921875,645.0,655.0,640.0,650.0,321500
2022-01-05,423.2772521972656,635.0,655.0,635.0,655.0,436400
2022-01-06,419.9443664550781,630.0,640.0,620.0,635.0,349400
2022-01-07,423.2772521972656,635.0,640.0,625.0,635.0,284200
2022-01-10,413.2785949707031,620.0,640.0,620.0,635.0,212500
2022-01-11,413.2785949707031,620.0,645.0,620.0,620.0,269900
